=== 뽑기 개수 미파악 (prizes는 있으나 count 없음) — 재스크랩 대상 (1367건) ===
slug,title,출시연월,prize_count,등급수,count있음,count없음,등급목록,url
"md_shopper","一番くじ めちゃでかショッパー","2026-02","2","2","0","2"," ","https://1kuji.com/products/md_shopper"
"myhero45","一番くじ 僕のヒーローアカデミア -紡がれる想い-","2026-02","16","15","8","7","A賞 B賞 C賞 D賞 E賞        G賞 H賞 I賞","https://1kuji.com/products/myhero45"
"narumiya","一番くじ ナルミヤキャラクターズ ～胸キュンときめきコレクション～","2026-01","8","7","0","7","A賞 B賞 C賞 D賞 E賞 F賞 G賞","https://1kuji.com/products/narumiya"
"gachiakuta","一番くじ ガチアクタ","2026-01","7","6","0","6","A賞 B賞 C賞 D賞 E賞 F賞","https://1kuji.com/products/gachiakuta"
"hololive-vs","一番くじ ホロライブ ～Villain Style～","2026-01","14","13","0","13","            ","https://1kuji.com/products/hololive-vs"
"hazbinhotel","一番くじ ハズビン・ホテル","2026-01","9","8","0","8","A賞 B賞 C賞 D賞 E賞 F賞 G賞 H賞","https://1kuji.com/products/hazbinhotel"
"strangerthings2","一番くじ ストレンジャー・シングス 未知の世界 Vol.2","2025-12","10","9","0","9","A賞 B賞 C賞 D賞 E賞 F賞 G賞 H賞 I賞","https://1kuji.com/products/strangerthings2"
"onep-base","ONE PIECE BASE SHOP くじ 366DAYS OF BIRTHDAYS","2025-12","4","4","0","4","   ","https://1kuji.com/products/onep-base"
"shinycolors3","一番くじ アイドルマスター シャイニーカラーズ Midnight Secret Party","2025-12","32","31","0","31","                              ","https://1kuji.com/products/shinycolors3"
"cyberpunk","一番くじ CYBERPUNK: EDGERUNNERS","2025-11","8","7","0","7","A賞 B賞 C賞 D賞 E賞 F賞 G賞","https://1kuji.com/products/cyberpunk"
